"","Parameter","Sigma","Response","Sample","Macrogrouping","Percent"
"5","Variations  Between Division  ",0.002,"differentiation","2songs","Division","0.64%"
"6","Variations  Between samples Within Division",0.176,"differentiation","2songs","Division","52.31%"
"7","Variations  Within samples",0.159,"differentiation","2songs","Division","47.05%"
"8","Total variations",0.337,"differentiation","2songs","Division","100.00%"
"17","Variations  Between Language_family  ",0.003,"differentiation","2songs","Languagefamily","1.03%"
"18","Variations  Between samples Within Language_family",0.175,"differentiation","2songs","Languagefamily","51.97%"
"19","Variations  Within samples",0.159,"differentiation","2songs","Languagefamily","47.00%"
"20","Total variations",0.337,"differentiation","2songs","Languagefamily","100.00%"
"29","Variations  Between Division  ",0.002,"dynamics","2songs","Division","1.10%"
"30","Variations  Between samples Within Division",0.073,"dynamics","2songs","Division","33.50%"
"31","Variations  Within samples",0.143,"dynamics","2songs","Division","65.40%"
"32","Total variations",0.219,"dynamics","2songs","Division","100.00%"
"41","Variations  Between Language_family  ",0.004,"dynamics","2songs","Languagefamily","1.73%"
"42","Variations  Between samples Within Language_family",0.072,"dynamics","2songs","Languagefamily","32.97%"
"43","Variations  Within samples",0.143,"dynamics","2songs","Languagefamily","65.30%"
"44","Total variations",0.22,"dynamics","2songs","Languagefamily","100.00%"
"53","Variations  Between Division  ",-0.002,"ornamentation","2songs","Division","-0.53%"
"54","Variations  Between samples Within Division",0.171,"ornamentation","2songs","Division","42.87%"
"55","Variations  Within samples",0.23,"ornamentation","2songs","Division","57.65%"
"56","Total variations",0.4,"ornamentation","2songs","Division","100.00%"
"65","Variations  Between Language_family  ",0.006,"ornamentation","2songs","Languagefamily","1.55%"
"66","Variations  Between samples Within Language_family",0.164,"ornamentation","2songs","Languagefamily","40.91%"
"67","Variations  Within samples",0.23,"ornamentation","2songs","Languagefamily","57.54%"
"68","Total variations",0.4,"ornamentation","2songs","Languagefamily","100.00%"
"77","Variations  Between Division  ",-0.003,"rhythm","2songs","Division","-1.57%"
"78","Variations  Between samples Within Division",0.055,"rhythm","2songs","Division","32.88%"
"79","Variations  Within samples",0.115,"rhythm","2songs","Division","68.69%"
"80","Total variations",0.168,"rhythm","2songs","Division","100.00%"
"89","Variations  Between Language_family  ",-0.002,"rhythm","2songs","Languagefamily","-1.40%"
"90","Variations  Between samples Within Language_family",0.055,"rhythm","2songs","Languagefamily","32.65%"
"91","Variations  Within samples",0.115,"rhythm","2songs","Languagefamily","68.76%"
"92","Total variations",0.168,"rhythm","2songs","Languagefamily","100.00%"
"101","Variations  Between Division  ",0,"tension","2songs","Division","0.03%"
"102","Variations  Between samples Within Division",0.141,"tension","2songs","Division","44.13%"
"103","Variations  Within samples",0.178,"tension","2songs","Division","55.84%"
"104","Total variations",0.319,"tension","2songs","Division","100.00%"
"113","Variations  Between Language_family  ",0.003,"tension","2songs","Languagefamily","0.90%"
"114","Variations  Between samples Within Language_family",0.138,"tension","2songs","Languagefamily","43.32%"
"115","Variations  Within samples",0.178,"tension","2songs","Languagefamily","55.78%"
"116","Total variations",0.319,"tension","2songs","Languagefamily","100.00%"
"1","Variations  Between Division  ",-0.007,"differentiation","10songs","Division","-2.14%"
"2","Variations  Between samples Within Division",0.161,"differentiation","10songs","Division","51.92%"
"3","Variations  Within samples",0.156,"differentiation","10songs","Division","50.22%"
"4","Total variations",0.31,"differentiation","10songs","Division","100.00%"
"13","Variations  Between Language_family  ",-0.012,"differentiation","10songs","Languagefamily","-3.77%"
"14","Variations  Between samples Within Language_family",0.165,"differentiation","10songs","Languagefamily","53.43%"
"15","Variations  Within samples",0.156,"differentiation","10songs","Languagefamily","50.34%"
"16","Total variations",0.31,"differentiation","10songs","Languagefamily","100.00%"
