"","societies","scores","location"
"10027","10027","0.31823","africa"
"10099","10099","0.29932","africa"
"10143","10143","0.31567","africa"
"10247","10247","0.31395","africa"
"10495","10495","0.29119","africa"
"10528","10528","0.26593","africa"
"10682","10682","0.32443","africa"
"11155","11155","0.31756","africa"
"11215","11215","0.23067","africa"
"11342","11342","0.34425","africa"
"11364","11364","0.3101","africa"
"11375","11375","0.29487","africa"
"11529","11529","0.31028","africa"
"11672","11672","0.35419","africa"
"11683","11683","0.27886","africa"
"11793","11793","0.31165","africa"
"11870","11870","0.28601","africa"
"12002","12002","0.3029","africa"
"12084","12084","0.31992","africa"
"12112","12112","0.33191","africa"
"12546","12546","0.23099","africa"
"12783","12783","0.30879","africa"
"13388","13388","0.29995","africa"
"13806","13806","0.285","africa"
"14004","14004","0.26934","africa"
"14576","14576","0.35132","africa"
"14598","14598","0.32603","africa"
"14675","14675","0.34775","africa"
"15027","15027","0.35711","africa"
"15390","15390","0.28083","africa"
"15544","15544","0.31584","africa"
"15577","15577","0.30835","africa"
"15687","15687","0.35697","africa"
"15703","15703","0.26409","africa"
"15995","15995","0.29764","africa"
"16402","16402","0.26939","africa"
"16479","16479","0.32934","africa"
"16578","16578","0.27688","africa"
"16688","16688","0.30167","africa"
"16996","16996","0.30101","africa"
"17535","17535","0.25354","africa"
"18591","18591","0.27676","africa"
"19262","19262","0.23173","africa"
"19614","19614","0.27431","africa"
"20098","20098","0.29948","africa"
"20131","20131","0.26786","africa"
"20230","20230","0.30369","africa"
"20241","20241","0.2796","africa"
"20252","20252","0.32647","africa"
"20615","20615","0.27424","africa"
"20681","20681","0.28499","africa"
"20956","20956","0.31829","africa"
"20967","20967","0.30107","africa"
"21044","21044","0.33166","africa"
"21110","21110","0.23978","africa"
"21132","21132","0.23859","africa"
"21198","21198","0.32417","africa"
"21242","21242","0.26733","africa"
"21737","21737","0.33638","africa"
"22166","22166","0.33193","africa"
"22276","22276","0.32722","africa"
"22848","22848","0.3047","africa"
"22865","22865","0.26996","africa"
"22868","22868","0.2791","africa"
"22870","22870","0.30561","africa"
"23464","23464","0.31871","africa"
"24707","24707","0.29688","africa"
"25411","25411","0.32893","africa"
