"","societies","scores","location"
"10495","10495","0.33572","africa"
"11155","11155","0.3189","africa"
"11529","11529","0.33874","africa"
"11683","11683","0.35321","africa"
"15390","15390","0.33146","africa"
"15412","15412","0.38454","africa"
"15566","15566","0.35391","africa"
"16578","16578","0.34167","africa"
"16996","16996","0.34237","africa"
"18888","18888","0.30748","africa"
"19262","19262","0.38063","africa"
"20098","20098","0.31277","africa"
"20945","20945","0.29504","africa"
"20956","20956","0.33348","africa"
"20967","20967","0.31912","africa"
"21198","21198","0.313","africa"
"25411","25411","0.35018","africa"
"26522","26522","0.35156","africa"
"27160","27160","0.35352","africa"
"28744","28744","0.37595","africa"
"30174","30174","0.33051","africa"
"62528","62528","0.34737","africa"
"23","overall_score","0.339596345025598","africa"
"10231","10231","0.33548","oceania"
"12816","12816","0.37917","oceania"
"14037","14037","0.31806","oceania"
"20835","20835","0.33016","oceania"
"20978","20978","0.35567","oceania"
"23200","23200","0.33193","oceania"
"23354","23354","0.3385","oceania"
"24795","24795","0.33124","oceania"
"27083","27083","0.37175","oceania"
"27479","27479","0.3388","oceania"
"27490","27490","0.37624","oceania"
"28975","28975","0.33135","oceania"
"30038","30038","0.37345","oceania"
"14","overall_score","0.347063370304575","oceania"
"10297","10297","0.42452","europe"
"10827","10827","0.24282","europe"
"24472","24472","0.29715","europe"
"24597","24597","0.36957","europe"
"50249","50249","0.25578","europe"
"50265","50265","0.23887","europe"
"50266","50266","0.40232","europe"
"50268","50268","0.31977","europe"
"50273","50273","0.26018","europe"
"10","overall_score","0.312331856208253","europe"
