"","input","explanatory","constraint","Statistic","P.value","r2","adj.r2","perm_adjr2z","perm_adjr2z_p"
"19","MusicalDist","GeneticDist","GeographicDist",0.28,0,0.232,0.208,5.514,1
"20","MusicalDist","GeneticDist","LanguageDist",0.3,0,0.133,0.087,-0.318,0.88
"21","MusicalDist","LanguageDist","GeographicDist",0.18,0,0.122,0.098,-0.962,0.96
"22","MusicalDist","LanguageDist","GeneticDist",-0.01,0.57,0.047,0.015,-3.225,0.57
"23","MusicalDist","GeographicDist","GeneticDist",0.05,0.21,0.201,0.175,3.63,1
"24","MusicalDist","GeographicDist","LanguageDist",0.23,0,0.177,0.136,2.45,0.97
"25","DifferentiationDist","GeneticDist","GeographicDist",0.17,0,0.22,0.19,4.264,1
"26","DifferentiationDist","GeneticDist","LanguageDist",0.18,0,0.153,0.11,0.926,0.98
"27","DifferentiationDist","LanguageDist","GeographicDist",0.15,0.02,0.184,0.166,2.463,0.98
"28","DifferentiationDist","LanguageDist","GeneticDist",0.03,0.3,0.145,0.121,0.938,1
"29","DifferentiationDist","GeographicDist","GeneticDist",0.05,0.19,0.224,0.194,3.453,1
"30","DifferentiationDist","GeographicDist","LanguageDist",0.16,0,0.196,0.158,1.591,0.99
"31","DynamicsDist","GeneticDist","GeographicDist",0.12,0.07,0.117,0.056,1.332,0.92
"32","DynamicsDist","GeneticDist","LanguageDist",0.19,0.01,0.069,0.002,-2.502,0.3
"33","DynamicsDist","LanguageDist","GeographicDist",-0.03,0.64,0.063,0.019,-0.894,0.71
"34","DynamicsDist","LanguageDist","GeneticDist",-0.13,0.97,0.021,-0.026,-1.194,0.15
"35","DynamicsDist","GeographicDist","GeneticDist",-0.02,0.61,0.057,-0.009,-2.869,0.34
"36","DynamicsDist","GeographicDist","LanguageDist",0.08,0.14,0.051,-0.018,-3.466,0.37
"37","OrnamentationDist","GeneticDist","GeographicDist",-0.15,1,0.151,0.115,1.209,0.97
"38","OrnamentationDist","GeneticDist","LanguageDist",-0.02,0.6,0.144,0.089,-0.487,0.97
"39","OrnamentationDist","LanguageDist","GeographicDist",-0.04,0.76,0.084,0.056,0.979,0.79
"40","OrnamentationDist","LanguageDist","GeneticDist",0.02,0.37,0.178,0.148,3.225,1
"41","OrnamentationDist","GeographicDist","GeneticDist",0.23,0,0.391,0.373,6.366,1
"42","OrnamentationDist","GeographicDist","LanguageDist",0.18,0,0.29,0.254,5.039,1
"43","RhythmDist","GeneticDist","GeographicDist",0.27,0,0.203,0.168,5.288,1
"44","RhythmDist","GeneticDist","LanguageDist",0.25,0,0.171,0.127,2.441,1
"45","RhythmDist","LanguageDist","GeographicDist",0.2,0.01,0.157,0.133,1.758,1
"46","RhythmDist","LanguageDist","GeneticDist",0.04,0.32,0.03,-0.003,-0.55,0.3
"47","RhythmDist","GeographicDist","GeneticDist",0.01,0.38,0.079,0.035,-0.538,0.73
"48","RhythmDist","GeographicDist","LanguageDist",0.17,0.01,0.173,0.13,1.806,0.95
"49","TensionDist","GeneticDist","GeographicDist",0.01,0.44,0.195,0.155,2.098,1
"50","TensionDist","GeneticDist","LanguageDist",0.04,0.23,0.158,0.103,1.867,0.99
"51","TensionDist","LanguageDist","GeographicDist",0.05,0.19,0.068,0.03,-2.737,0.61
"52","TensionDist","LanguageDist","GeneticDist",0.04,0.26,0.082,0.045,0.216,0.87
"53","TensionDist","GeographicDist","GeneticDist",0.09,0.05,0.218,0.18,4.584,1
"54","TensionDist","GeographicDist","LanguageDist",0.1,0.03,0.167,0.113,0.117,0.96
